Desert Lizard
	Bones[1 in 2]
	Cabbage seed[1 in 22]
	Chaos talisman[1 in 804]
	Coal[1 in 12]
	Copper ore[1 in 50]
	Dragon spear[1 in 6080]
	Fire rune[1 in 0]
	Grimy avantoe[1 in 316]
	Grimy cadantine[1 in 474]
	Grimy dwarf weed[1 in 628]
	Grimy guam leaf[1 in 58]
	Grimy harralander[1 in 134]
	Grimy irit leaf[1 in 236]
	Grimy kwuarm[1 in 374]
	Grimy lantadyme[1 in 622]
	Grimy marrentill[1 in 78]
	Grimy ranarr weed[1 in 172]
	Grimy tarromin[1 in 104]
	Iron ore[1 in 6]
	Kebab[1 in 12]
	Loop half of key[1 in 1186]
	Mithril ore[1 in 148]
	Mystic gloves (light)[1 in 512]
	Nature rune[1 in 8]
	Nature talisman[1 in 798]
	Onion seed[1 in 14]
	Potato seed[1 in 12]
	Rune javelin[1 in 242]
	Rune spear[1 in 2250]
	Shield left half[1 in 4518]
	Silver bar[1 in 74]
	Silver ore[1 in 50]
	Snape grass seed[1 in 1064]
	Strawberry seed[1 in 356]
	Sweetcorn seed[1 in 118]
	Tin ore[1 in 36]
	Tomato seed[1 in 60]
	Tooth half of key[1 in 1194]
	Uncut diamond[1 in 600]
	Uncut emerald[1 in 74]
	Uncut ruby[1 in 150]
	Uncut sapphire[1 in 38]
	Watermelon seed[1 in 716]
	Waterskin(0)[1 in 4]
Desert Wolf
	Wolf bones[1 in 2]
Deviant Spectre
	Adamantite ore[1 in 26]
	Avantoe seed[1 in 86]
	Battlestaff[1 in 26]
	Belladonna seed[1 in 60]
	Black platelegs[1 in 26]
	Cactus seed[1 in 90]
	Cadantine seed[1 in 272]
	Chaos talisman[1 in 174]
	Clue scroll (hard)[1 in 128]
	Dragon spear[1 in 1290]
	Dwarf weed seed[1 in 626]
	Grimy avantoe[1 in 26]
	Grimy cadantine[1 in 38]
	Grimy dwarf weed[1 in 50]
	Grimy guam leaf[1 in 4]
	Grimy harralander[1 in 10]
	Grimy irit leaf[1 in 18]
	Grimy kwuarm[1 in 30]
	Grimy lantadyme[1 in 50]
	Grimy marrentill[1 in 6]
	Grimy ranarr weed[1 in 14]
	Grimy tarromin[1 in 8]
	Irit seed[1 in 58]
	Kwuarm seed[1 in 126]
	Lantadyme seed[1 in 380]
	Lava battlestaff[1 in 128]
	Limpwurt seed[1 in 0]
	Loop half of key[1 in 258]
	Mithril battleaxe[1 in 26]
	Mystic robe bottom (dark)[1 in 508]
	Nature talisman[1 in 172]
	Poison ivy seed[1 in 86]
	Potato cactus seed[1 in 126]
	Rune chainbody[1 in 128]
	Rune full helm[1 in 64]
	Rune javelin[1 in 52]
	Rune spear[1 in 486]
	Shield left half[1 in 974]
	Snapdragon seed[1 in 188]
	Snape grass seed[1 in 158]
	Toadflax seed[1 in 40]
	Tooth half of key[1 in 258]
	Torstol seed[1 in 948]
	Uncut diamond[1 in 130]
	Uncut emerald[1 in 16]
	Uncut ruby[1 in 32]
	Uncut sapphire[1 in 8]
Drake
	Avantoe seed[1 in 900]
	Belladonna seed[1 in 642]
	Black d'hide vambraces[1 in 84]
	Cactus seed[1 in 934]
	Cadantine seed[1 in 2842]
	Chaos talisman[1 in 3604]
	Clue scroll (hard)[1 in 128]
	Coins[1 in 0]
	Death rune[1 in 0]
	Diamond[1 in 0]
	Dragon knife[1 in 0]
	Dragon mace[1 in 84]
	Dragon spear[1 in 26386]
	Dragon thrownaxe[1 in 0]
	Drake bones[1 in 2]
	Drake's claw[1 in 2554]
	Drake's tooth[1 in 2516]
	Dwarf weed seed[1 in 6798]
	Fire rune[1 in 0]
	Grimy avantoe[1 in 0]
	Grimy cadantine[1 in 0]
	Grimy dwarf weed[1 in 0]
	Grimy guam leaf[1 in 0]
	Grimy harralander[1 in 0]
	Grimy irit leaf[1 in 2]
	Grimy kwuarm[1 in 0]
	Grimy lantadyme[1 in 0]
	Grimy marrentill[1 in 0]
	Grimy ranarr weed[1 in 0]
	Grimy snapdragon[1 in 0]
	Grimy tarromin[1 in 0]
	Grimy torstol[1 in 0]
	Irit seed[1 in 618]
	Kwuarm seed[1 in 1328]
	Lantadyme seed[1 in 3890]
	Law rune[1 in 0]
	Loop half of key[1 in 5412]
	Mystic earth staff[1 in 84]
	Nature rune[1 in 0]
	Nature talisman[1 in 3600]
	Poison ivy seed[1 in 900]
	Potato cactus seed[1 in 1322]
	Red d'hide body[1 in 42]
	Rune arrow[1 in 0]
	Rune full helm[1 in 28]
	Rune javelin[1 in 1120]
	Rune spear[1 in 10252]
	Shield left half[1 in 20304]
	Snapdragon seed[1 in 1990]
	Snape grass seed[1 in 1626]
	Swordfish[1 in 0]
	Toadflax seed[1 in 418]
	Tooth half of key[1 in 5468]
	Torstol seed[1 in 9946]
	Uncut diamond[1 in 2706]
	Uncut emerald[1 in 342]
	Uncut ruby[1 in 686]
	Uncut sapphire[1 in 170]
