Rockslug
	Bronze bar[1 in 60]
	Chaos rune[1 in 14]
	Chaos talisman[1 in 864]
	Coal[1 in 10]
	Copper ore[1 in 40]
	Dragon spear[1 in 6372]
	Dwarven stout[1 in 10]
	Earth rune[1 in 0]
	Hammer[1 in 2]
	Iron bar[1 in 40]
	Iron ore[1 in 6]
	Loop half of key[1 in 1298]
	Mithril ore[1 in 118]
	Mystic gloves (light)[1 in 510]
	Nature talisman[1 in 856]
	Rune javelin[1 in 258]
	Rune spear[1 in 2440]
	Shield left half[1 in 4748]
	Tin ore[1 in 14]
	Tooth half of key[1 in 1282]
	Uncut diamond[1 in 644]
	Uncut emerald[1 in 80]
	Uncut ruby[1 in 162]
	Uncut sapphire[1 in 40]
Rogue

Rooster
	Bones[1 in 2]
	Feather[1 in 0]
	Raw chicken[1 in 2]
Rune Dragon
	Adamant javelin[1 in 396]
	Chaos rune[1 in 0]
	Chaos talisman[1 in 32948]
	Clue scroll (elite)[1 in 300]
	Coins[1 in 0]
	Death rune[1 in 0]
	Draconic visage[1 in 7874]
	Dragon bolts (unf)[1 in 0]
	Dragon bones[1 in 2]
	Dragon javelin heads[1 in 0]
	Dragon limbs[1 in 800]
	Dragon med helm[1 in 126]
	Dragon metal lump[1 in 5002]
	Dragon platelegs[1 in 128]
	Dragon plateskirt[1 in 128]
	Dragon spear[1 in 5420]
	Dragonstone[1 in 18]
	Grimy avantoe[1 in 50]
	Grimy ranarr weed[1 in 64]
	Grimy snapdragon[1 in 64]
	Grimy torstol[1 in 84]
	Law rune[1 in 176]
	Loop half of key[1 in 806]
	Nature rune[1 in 80]
	Nature talisman[1 in 37950]
	Rune 2h sword[1 in 5300]
	Rune arrow[1 in 0]
	Rune battleaxe[1 in 5470]
	Rune javelin[1 in 9828]
	Rune javelin heads[1 in 0]
	Rune kiteshield[1 in 16000]
	Rune longsword[1 in 16]
	Rune mace[1 in 18]
	Rune platebody[1 in 14]
	Rune platelegs[1 in 22]
	Rune scimitar[1 in 18]
	Rune spear[1 in 1990]
	Rune sq shield[1 in 7958]
	Rune warhammer[1 in 18]
	Runite bar[1 in 0]
	Runite bolts (unf)[1 in 0]
	Runite ore[1 in 0]
	Shield left half[1 in 3970]
	Silver ore[1 in 86]
	Steel arrow[1 in 54]
	Tooth half of key[1 in 800]
	Uncut diamond[1 in 26042]
	Uncut emerald[1 in 3302]
	Uncut ruby[1 in 6524]
	Uncut sapphire[1 in 1662]
	Wrath rune[1 in 0]
	Wrath talisman[1 in 126]
Sarachnis
	Adamantite ore[1 in 0]
	Avantoe seed[1 in 180]
	Battlestaff[1 in 0]
	Belladonna seed[1 in 128]
	Blood rune[1 in 0]
	Cactus seed[1 in 190]
	Cadantine seed[1 in 564]
	Chaos rune[1 in 0]
	Chaos talisman[1 in 4402]
	Clue scroll (elite)[1 in 60]
	Clue scroll (hard)[1 in 40]
	Coins[1 in 0]
	Cosmic rune[1 in 0]
	Crystal key[1 in 100]
	Death rune[1 in 0]
	Dragon bones[1 in 0]
	Dragon med helm[1 in 192]
	Dragon spear[1 in 33004]
	Dwarf weed seed[1 in 1312]
	Egg potato[1 in 0]
	Giant egg sac(full)[1 in 20]
	Grimy avantoe[1 in 0]
	Grimy cadantine[1 in 0]
	Grimy dwarf weed[1 in 0]
	Grimy kwuarm[1 in 0]
	Grimy lantadyme[1 in 0]
	Grimy ranarr weed[1 in 0]
