Lava dragon
	Adamant 2h sword[1 in 64]
	Adamant javelin[1 in 136]
	Adamant platebody[1 in 64]
	Adamantite bar[1 in 12]
	Black dragonhide[1 in 2]
	Blood rune[1 in 0]
	Chaos talisman[1 in 1016]
	Chocolate cake[1 in 14]
	Clue scroll (elite)[1 in 250]
	Coins[1 in 0]
	Death rune[1 in 2]
	Draconic visage[1 in 9916]
	Dragon javelin heads[1 in 2]
	Dragon med helm[1 in 5474]
	Dragon spear[1 in 1476]
	Dragonstone[1 in 2748]
	Ensouled dragon head[1 in 18]
	Fire orb[1 in 2]
	Fire rune[1 in 0]
	Fire talisman[1 in 128]
	Grimy avantoe[1 in 276]
	Grimy cadantine[1 in 406]
	Grimy dwarf weed[1 in 546]
	Grimy guam leaf[1 in 52]
	Grimy harralander[1 in 116]
	Grimy irit leaf[1 in 204]
	Grimy kwuarm[1 in 328]
	Grimy lantadyme[1 in 546]
	Grimy marrentill[1 in 68]
	Grimy ranarr weed[1 in 150]
	Grimy tarromin[1 in 90]
	Lava battlestaff[1 in 42]
	Lava dragon bones[1 in 2]
	Lava rune[1 in 0]
	Lava scale[1 in 2]
	Law rune[1 in 2]
	Loop half of key[1 in 232]
	Nature rune[1 in 28]
	Nature talisman[1 in 1010]
	Onyx bolt tips[1 in 2]
	Rune 2h sword[1 in 1822]
	Rune arrow[1 in 66]
	Rune axe[1 in 64]
	Rune battleaxe[1 in 1790]
	Rune dart[1 in 2]
	Rune full helm[1 in 128]
	Rune javelin[1 in 0]
	Rune kiteshield[1 in 64]
	Rune knife[1 in 4]
	Rune longsword[1 in 64]
	Rune med helm[1 in 128]
	Rune spear[1 in 548]
	Rune sq shield[1 in 2668]
	Runite bar[1 in 1092]
	Runite bolts[1 in 0]
	Shield left half[1 in 1112]
	Silver ore[1 in 28]
	Steel arrow[1 in 18]
	Tooth half of key[1 in 232]
	Uncut diamond[1 in 756]
	Uncut emerald[1 in 96]
	Uncut ruby[1 in 192]
	Uncut sapphire[1 in 48]
Lesser demon
	Chaos rune[1 in 2]
	Chaos talisman[1 in 1370]
	Coins[1 in 0]
	Death rune[1 in 14]
	Dragon spear[1 in 10378]
	Ensouled demon head[1 in 50]
	Fire rune[1 in 0]
	Gold ore[1 in 64]
	Grimy avantoe[1 in 2786]
	Grimy cadantine[1 in 4178]
	Grimy dwarf weed[1 in 5428]
	Grimy guam leaf[1 in 510]
	Grimy harralander[1 in 1182]
	Grimy irit leaf[1 in 2080]
	Grimy kwuarm[1 in 3282]
	Grimy lantadyme[1 in 5482]
	Grimy marrentill[1 in 688]
	Grimy ranarr weed[1 in 1480]
	Grimy tarromin[1 in 912]
	Jug of wine[1 in 42]
	Lesser demon champion scroll[1 in 5066]
	Loop half of key[1 in 2064]
	Mithril chainbody[1 in 128]
	Mithril sq shield[1 in 128]
	Nature talisman[1 in 1404]
	Rune javelin[1 in 412]
	Rune med helm[1 in 128]
